Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
DESKTOP-QHV4SLP,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Filtering Platform Packet Drop,{0CCE9225-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-QHV4SLP,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},Success and Failure,,3
